Function,Dimension,Algorithm,Best,Worst,Mean,StdDev,SuccessRate,AvgTime
F1,2,GA,-449.999999999983,-449.999999998232,-449.999999999589,5.63380093610569e-10,100,0.263572111111111
F1,2,PSO,-450,-449.999999999938,-449.999999999994,1.63527785770761e-11,100,0.104247883333333
F1,2,SA,-449.999999940771,-449.999411804383,-449.999956837447,0.00015091348108907,100,0.208983433333333
F1,10,GA,-449.998696485205,329.309634902947,-325.295396455157,234.88511582081,46.6666666666667,0.355281961111111
F1,10,PSO,-449.999999999807,-144.346246491969,-429.62308309833,78.9194598025121,93.3333333333333,0.223851869444444
F1,10,SA,-449.961453631098,-449.132609801716,-449.561819187986,0.250519228994864,100,0.665105752777778
F6,2,GA,390.000030530379,426.766263540679,397.658605809064,12.3320525048184,66.6666666666667,0.315358413888889
F6,2,PSO,390.000000000019,390.004864939656,390.000562062102,0.00149035043751713,100,0.135555933333333
F6,2,SA,390.000532175017,421.51529947205,393.11471909062,8.24028192201153,86.6666666666667,0.186892319444444
F6,10,GA,815.088271005803,6020116.83298505,745829.204538908,1601018.58329751,0,0.341983858333333
F6,10,PSO,393.132225715544,1456.45091623039,586.270914224325,340.069023928687,6.66666666666667,0.466475333333333
F6,10,SA,392.783238899402,13192.8098458862,2333.67835123528,4263.90575174079,6.66666666666667,0.9308159
